Id,Label,timeset,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,weighted degree
1,UNIVALLE,,64,2,0.84,0.904762,5.699597,0,0.841355,472,64
2,CIAT,,60,2,0.84,0.904762,4.933946,0,0.83066,466,60
3,CENICA�A,,68,2,0.893617,0.940476,8.556987,0,0.795796,530,68
4,UAO,,52,2,0.777778,0.857143,1.959631,0,0.905747,394,52
5,UNAL,,81,1,1,1,22.56174,1,0.727062,626,81
6,UIS,,46,2,0.711864,0.797619,2.264035,1,0.86,258,46
9,UPB,,53,2,0.823529,0.892857,5.579481,1,0.795455,420,53
11,ULIBRE,,26,2,0.636364,0.714286,0,0,1,153,26
13,SENA,,59,2,0.792453,0.869048,2.36691,0,0.896774,417,59
14,BIOPACIFICO,,66,2,0.875,0.928571,8.054439,0,0.785714,495,66
15,CORPOICA-AGROSAVIA,,58,2,0.823529,0.892857,3.37911,0,0.86553,457,58
16,BIOTEC,,46,2,0.711864,0.797619,3.854714,1,0.816667,245,46
17,ALEXANDER VON HUMBOLT,,53,2,0.777778,0.857143,1.661987,0,0.896552,390,53
18,CORPOGEN,,64,2,0.893617,0.940476,8.931398,1,0.780781,520,64
19,CENIPALMA,,68,2,0.857143,0.916667,6.3136,0,0.842857,531,68
20,INCAUCA,,60,2,0.807692,0.880952,2.679107,0,0.859848,454,60
21,RIOPAILA,,67,2,0.857143,0.916667,5.226499,0,0.842857,531,67
22,MAYAGUEZ,,62,2,0.823529,0.892857,3.370881,0,0.860963,483,62
23,PROVIDENCIA,,60,2,0.807692,0.880952,2.679107,0,0.859848,454,60
26,PROGEN,,57,2,0.84,0.904762,4.029128,0,0.85918,482,57
27,BIOENERGY,,55,2,0.823529,0.892857,1.836767,0,0.875223,491,55
28,ASOCA�A,,55,2,0.823529,0.892857,1.860297,0,0.875223,491,55
29,PROCA�A,,57,2,0.84,0.904762,2.314769,0,0.858824,511,57
31,TECNICA�A,,49,2,0.777778,0.857143,4.583016,1,0.797701,347,49
32,TERPEL,,71,2,0.954545,0.97619,14.854793,1,0.746154,582,71
33,FEDEPETROLEO,,69,2,0.913043,0.952381,15.140138,1,0.748222,526,69
35,MINCIENCIAS,,85,1,1,1,23.095555,1,0.693245,626,85
36,DNP,,57,2,0.857143,0.916667,7.24729,1,0.768067,457,57
40,ICA,,42,2,0.7,0.785714,0.154463,0,0.98913,273,42
41,BANCO AGRARIO,,72,2,0.933333,0.964286,11.418613,0,0.773279,573,72
42,FINAGRO,,42,2,0.688525,0.77381,0,0,1,253,42
43,BANCOLDEX,,64,2,0.875,0.928571,10.427298,0,0.780952,492,64
25,GPC,,45,2,0.736842,0.821429,3.754168,1,0.809117,284,45
39,FEDEBIOCOMBUSTIBLES,,74,2,0.976744,0.988095,13.964004,1,0.707317,609,74
24,RISARALDA,,38,2,0.677419,0.761905,0.995952,1,0.896104,207,38
30,CIAMSA,,48,2,0.763636,0.845238,4.423417,1,0.758621,308,48
34,MINMINAS,,59,2,0.84,0.904762,5.153563,1,0.834225,468,59
37,MADR,,36,2,0.688525,0.77381,1.171493,1,0.873518,221,36
38,FEPALMA,,48,2,0.807692,0.880952,3.543322,1,0.795455,420,48
7,UCESAR,,36,2,0.666667,0.75,0.950584,1,0.9,189,36
8,ITM,,20,2,0.575342,0.630952,0.061538,1,0.981818,54,20
10,UPAMPLONA,,30,2,0.626866,0.702381,0.246282,1,0.933824,127,30
12,UDEA,,46,2,0.724138,0.809524,3.700381,1,0.806154,262,46
