;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY
UNIVALLE;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
CIAT;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0
CENICAÑA;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UAO;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1
UNAL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UIS;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0
UCESAR;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
ITM;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
UPB;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0
UPAMPLONA;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
ULIBRE;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
UDEA;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0
SENA;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1
BIOPACIFICO;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
CORPOICA-AGROSAVIA;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1
BIOTEC;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
ALEXANDER VON HUMBOLT;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1
CORPOGEN;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0
CENIPALMA;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1
INCAUCA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1
RIOPAILA;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1
MAYAGUEZ;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1
PROVIDENCIA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;1;1
RISARALDA;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
GPC;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
PROGEN;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1
BIOENERGY;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0
