;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA
UNIVALLE;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1
CIAT;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;1
CENICAÑA;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UAO;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1
UNAL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UIS;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0
UCESAR;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0
ITM;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
UPB;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0
UPAMPLONA;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0
ULIBRE;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
UDEA;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0
SENA;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1
BIOPACIFICO;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1
CORPOICA-AGROSAVIA;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
BIOTEC;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0
ALEXANDER VON HUMBOLT;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1
CORPOGEN;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1
CENIPALMA;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1
ASOCAÑA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0
PROCAÑA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0
CIAMSA;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0
TECNICAÑA;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0
TERPEL;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0
FEDEPETROLEO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0
MINMINAS;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0
DNP;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0
MADR;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0
FEPALMA;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
FEDEBIOCOMBUSTIBLES;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1
ICA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
